"beta1" "lambda1" "beta2" "lambda2" "beta3" "lambda3" "sumQfunc" "diffB_beta1" "diffB_beta3" "bp" "iter" "Beta1 at 1" "Q1" "Q2" "Q3" "pi1" "pi2" "pi3"
"16.3567701858688" "4.36939159719472e-32" "1" "0.803260091327378" "1.63662897801877" "0.00249262519394797" "-222.790899461457" "2.05801597985555e-10" "1.81556458755949e-09" "bp" "25" "18.496408433757" "-61.1840467796442" "-10.710779953456" "-99.2675472777558" "0.373555928105562" "0.175719539152942" "0.450724532741496"
"17.6555063203011" "1.34312532940389e-34" "1" "0.804069014224917" "1.64726870204692" "0.00231559317372745" "-222.546299987824" "1.03058539480116e-09" "2.45326390313494e-08" "bp" "26" "17.9769504427167" "-58.2692430199238" "-10.7073495663741" "-102.053048681226" "0.362718561542129" "0.175808418710571" "0.461473019747301"
"19.5940720778115" "2.39780995822991e-38" "1" "0.801964829019368" "1.6636694840332" "0.00209389685961416" "-222.058436822434" "9.4213987722469e-09" "1.38032461904913e-07" "bp" "27" "17.3594107531822" "-54.6727172553333" "-10.7528394240791" "-105.27329062056" "0.349854867258269" "0.176176339433652" "0.473968793308079"
"22.8899372958937" "1.0244844195634e-44" "1" "0.7972183197781" "1.68744837327543" "0.00182746502171665" "-221.076462958205" "1.34686558794783e-07" "6.01023316448845e-07" "bp" "28" "16.5927080215198" "-49.9231331875674" "-10.8439844900658" "-109.191275718864" "0.333906589773979" "0.176809854130712" "0.48928355609531"
"29.3292891908096" "3.74162979801249e-57" "1" "0.789648477529363" "1.72024061868871" "0.00152780602721839" "-219.066675647762" "2.47086532567664e-06" "1.70530256582424e-13" "bp" "29" "15.6416323317782" "-43.3706764734625" "-10.9855165861" "-113.970451841255" "0.314155547487845" "0.177735096501302" "0.508109356010853"
"41.9545216435065" "1.56680392242818e-81" "1" "0.778770201749974" "1.75850989616024" "0.00124600621638498" "-215.590872891124" "1.66606711218265e-05" "1.17950094136177e-12" "bp" "30" "14.6074100083018" "-35.1016163047635" "-11.1872686565066" "-119.067335332828" "0.292768183451001" "0.178990675624442" "0.528241140924558"
"58.8817245384983" "3.20498663028786e-114" "1" "0.764677295811177" "1.7907477135885" "0.0010465931520856" "-212.203737512444" "6.1901222707661e-06" "1.79374495701268e-06" "bp" "31" "13.738959236145" "-27.767431366615" "-11.4468331403668" "-123.236821474244" "0.275014798387369" "0.180506517045344" "0.544478684567288"
"70.8534525936457" "2.3921391606144e-137" "1" "0.749121315433333" "1.81167856055269" "0.000931481979248428" "-210.72619925962" "5.53998944496925e-08" "3.08067484411367e-07" "bp" "32" "13.1805849588641" "-23.7507440647682" "-11.7305731488293" "-125.809814705397" "0.263731186125605" "0.182031014623005" "0.55423779925139"
"76.5337225660549" "2.52405508882586e-148" "1" "0.734419052062336" "1.82525064235762" "0.000864103136365923" "-210.457567383255" "4.30443328980346e-06" "5.30000789922269e-08" "bp" "33" "12.8614239986086" "-22.0110348421674" "-11.9980244967883" "-127.182859231303" "0.257317955169123" "0.18336133775296" "0.559320707077918"
"79.0819415475686" "3.00045585802433e-153" "1" "0.721710125652182" "1.83523407348631" "0.000820776334819026" "-210.440566941979" "1.42953403781121e-07" "1.51753170030133e-08" "bp" "34" "12.7026289052424" "-21.252940066673" "-12.2314919619115" "-127.75377652671" "0.25413169655293" "0.184468735366936" "0.561399568080134"
"80.1828473087278" "2.23524179327022e-155" "1" "0.711160270478789" "1.84300496468884" "0.000790687223963491" "-210.459959199572" "3.76391131950982e-05" "5.43728617685701e-09" "bp" "35" "12.629625291896" "-20.9246223812765" "-12.4285041411058" "-127.912045962838" "0.252667521074318" "0.185381437194411" "0.561951041731271"
"80.6715132956992" "2.53990522295228e-156" "1" "0.702545465905125" "1.84920052713276" "0.000768560491100798" "-210.479068305182" "7.16413524770587e-06" "2.191171688537e-09" "bp" "36" "12.5972757582381" "-20.783678738795" "-12.5921269502147" "-127.893001591347" "0.252018840457494" "0.186130179909608" "0.561850979632898"
