"beta1" "lambda1" "beta2" "lambda2" "beta3" "lambda3" "sumQfunc" "diffB_beta1" "diffB_beta3" "bp" "iter" "Beta1 at 1" "Q1" "Q2" "Q3" "pi1" "pi2" "pi3"
"0.70849271801647" "1.43733476056505" "1" "1.00254543515404" "1.60053896199852" "0.0471298256006542" "-273.048110527451" "3.64578411904404e-09" "9.93978233054804e-11" "bp" "44" "-35.3482976357589" "-28.2404090644322" "-60.2641318773377" "-54.5331694737542" "0.367684971287944" "0.472013483451258" "0.160301545260798"
"0.710629445029934" "1.44651362823557" "1" "0.995453967937064" "1.60334464850718" "0.0467497249960794" "-272.963876759202" "3.6121443613979e-09" "1.04300568182225e-10" "bp" "45" "-35.1509120275658" "-28.0121078022402" "-60.4755062769487" "-54.444567299564" "0.369674625609549" "0.470321919550914" "0.160003454839537"
"0.712769110800739" "1.45575177036568" "1" "0.988304395751425" "1.60618102159004" "0.0463673568170071" "-272.872777368162" "3.59058338617047e-09" "1.0550138540566e-10" "bp" "46" "-34.9481514253124" "-27.7791092053274" "-60.6972238639765" "-54.3494293835542" "0.371631631504701" "0.468683220897159" "0.15968514759814"
"0.714912933558531" "1.46505340968578" "1" "0.981098375698865" "1.60905044170268" "0.0459824127694228" "-272.774829847966" "3.58402685307624e-09" "1.10368603145616e-10" "bp" "47" "-34.7399334066741" "-27.5414056580679" "-60.929406392114" "-54.2475982975903" "0.373556345632949" "0.467097577638279" "0.159346076728772"
"0.717062010386889" "1.47442204324222" "1" "0.973837906387491" "1.61195557704914" "0.0455945588627871" "-272.670046145992" "3.5703329182013e-09" "1.16621379220305e-10" "bp" "48" "-34.52619108296" "-27.2990195027346" "-61.1721721914225" "-54.1388986653164" "0.375449087263259" "0.46556526920025" "0.158985643536491"
"0.719217302107164" "1.48386038902835" "1" "0.966525354168604" "1.61489942914414" "0.0452034343661474" "-272.558433942819" "3.5726772651401e-09" "1.19442233881273e-10" "bp" "49" "-34.3068764861714" "-27.0520044941228" "-61.425634181017" "-54.023138322249" "0.377310137186958" "0.464086661476174" "0.158603201336868"
"0.721379617247808" "1.49337032800397" "1" "0.959163478673897" "1.61788536214737" "0.0448086506435765" "-272.439997976636" "3.58227802976785e-09" "1.23854704270343e-10" "bp" "50" "-34.0819640432653" "-26.8004472860515" "-61.6898977739527" "-53.900109584657" "0.379139736465086" "0.462662203745037" "0.158198059789877"
"0.723549595196608" "1.50295284247507" "1" "0.951755456929831" "1.62091713593877" "0.0444097899130728" "-272.314741415207" "3.58914609144279e-09" "1.27897692436818e-10" "bp" "51" "-33.8514541219605" "-26.5444689020251" "-61.9650586902408" "-53.7695906491438" "0.380938085059305" "0.461292425200419" "0.157769489740275"
"0.725727688700095" "1.5126079520221" "1" "0.94430490524672" "1.62399894286062" "0.0440064039787436" "-272.182667273878" "3.6044893736431e-09" "1.38932421123172e-10" "bp" "52" "-33.6153766190327" "-26.2842261367246" "-62.2512006996668" "-53.6313471419472" "0.382705340402918" "0.459977930972546" "0.157316728624536"
"0.727914145946682" "1.52233464841192" "1" "0.936815898002952" "1.62713544800829" "0.0435980129916688" "-272.043779873669" "3.61574037377466e-09" "1.48901335705887e-10" "bp" "53" "-33.3737945474566" "-26.0199128292263" "-62.5483933225551" "-53.4851338333471" "0.384441615977263" "0.458719397531277" "0.15683898649146"
