"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V144" "SerumReversal" 45 0.565017436723041 41.2774316255109 0.0430974711490439 0.00204967053733155 1.33037540546009e-106 3.17177827469095e-05 -1.4883874825955e-06 2.07611705604904e-13 -2.22999739206148e+90 0.893438935746119 2.19438611683055e-46 0.106561064253881 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 23 1 -564.652920953497 -496.403741812539 -9.88399016182401e-44 -18.0380402065027 16681.0053720006 16681.0053720006 16681.0053720006
"V145" "SerumReversal" 46 0.565017456315927 41.2773418045126 0.0430974734818488 0.0020496709463729 1.33107922989401e-106 2.82356486422941e-05 -1.32498794869207e-06 1.00142116821189e-13 4.57537377497004e+89 0.893438842717312 4.89099450038344e-47 0.106561157282687 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 22 1 -564.652934043988 -496.403704807639 -2.20300993304077e-44 -18.0380610256203 18738.1742286039 18738.1742286039 18738.1742286039
"V146" "SerumReversal" 47 0.565017473758101 41.2772618439797 0.0430974755586614 0.00204967131051896 1.33170610242431e-106 2.5135798523479e-05 -1.17952660261267e-06 1.46216372343133e-13 2.06886466346471e+89 0.89343875989923 1.09013711408413e-47 0.10656124010077 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 22 1 -564.652945697659 -496.403671864363 -4.91021407914138e-45 -18.03807955963 21049.0414451202 21049.0414451202 21049.0414451202
"V147" "SerumReversal" 48 0.565017489285376 41.2771906619706 0.0430974774074644 0.0020496716346867 1.33226440168894e-106 2.23762637006075e-05 -1.05003422135042e-06 2.55906407176099e-14 1.93558203610689e+90 0.89343868617346 2.42976862413387e-48 0.10656131382654 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 22 1 -564.652956071927 -496.403642537816 -1.09442055147081e-45 -18.0380960588766 23644.8941264541 23644.8941264541 23644.8941264541
"V148" "SerumReversal" 49 0.565017503107982 41.2771272947254 0.0430974790532911 0.00204967192326525 1.33276160461935e-106 1.99196830408255e-05 -9.34757775183925e-07 1.50435219836709e-13 2.55425214220066e+90 0.893438620541777 5.41562486969755e-49 0.106561379458223 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 22 1 -564.652965307251 -496.403616430926 -2.43931513579144e-46 -18.0381107467477 26560.8778294668 26560.8778294668 26560.8778294668
"V149" "SerumReversal" 50 0.565017515412762 41.277070884895 0.0430974805183029 0.00204967218014982 1.33320437318569e-106 1.77327970618535e-05 -8.32136638706515e-07 5.38458166943201e-14 5.74905661289713e+89 0.893438562118163 1.29650961860385e-49 0.106561437881837 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 21 1 -564.652973528347 -496.403593191239 -5.83976128196292e-47 -18.0381238215772 29836.4724028334 29836.4724028334 29836.4724028334
"V150" "SerumReversal" 51 0.565017526366962 41.2770206674351 0.0430974818225986 0.0020496724088441 1.33359866075173e-106 1.57859972773622e-05 -7.4078151257595e-07 -2.70450328798688e-13 1.54766991170726e+90 0.893438510106034 3.10386488002057e-50 0.106561489893966 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 21 1 -564.652980847213 -496.403572501919 -1.39804828561864e-47 -18.0381354615133 33516.0265093885 33516.0265093885 33516.0265093885
"V151" "SerumReversal" 52 0.565017536118552 41.2769759631243 0.0430974829836996 0.00204967261243097 1.33394975936497e-106 1.40529263035205e-05 -6.5945561189551e-07 -7.66053886991358e-15 3.80551740500769e+90 0.893438463804106 7.4307008418413e-51 0.106561536195894 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 21 1 -564.652987362576 -496.403554083997 -3.3469494493162e-48 -18.0381458235563 37649.3580679247 37649.3580679247 37649.3580679247
"V152" "SerumReversal" 53 0.565017544799562 41.2769361666902 0.0430974840173271 0.00204967279366689 1.33426239027479e-106 1.25101199159872e-05 -5.87057915168998e-07 -8.90953977261688e-14 3.58669518098738e+90 0.893438422585474 1.77892100745241e-51 0.106561577414526 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 21 1 -564.652993162648 -496.403537688101 -8.01264773655057e-49 -18.0381550480009 42292.428743895 42292.428743895 42292.428743895
"V153" "SerumReversal" 54 0.565017552527218 41.2769007399272 0.0430974849373522 0.00204967295499363 1.33454075575916e-106 1.11366899773202e-05 -5.22608267772284e-07 -1.37556632751057e-13 4.44507508703067e+90 0.893438385894681 4.57432622961237e-52 0.106561614105319 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 20 1 -564.652998325632 -496.40352309327 -2.06037622434001e-49 -18.0381632592076 47508.101621028 47508.101621028 47508.101621028
