"beta1" "lambda1" "lambda2" "diffBeta1" "diffLambda1" "pi1" "pi2" "init_beta1" "init_beta2" "init_pi1" "init_pi2" "tempering" "Qlike" "Q1" "Q2" "bpBase" "bp1"
0.197422580232309 0.00204156701683065 7.21388973888958e-07 -3.77773590685138e-05 1.70530256582424e-13 0.770133970636657 0.229866029363343 0.5 1 0.5 0.5 0.694333333333333 -2539.92524235456 -285.081687416502 -14.284056187818 101100 101100
0.197522618924689 0.00202646792251145 7.12017350993478e-07 -3.43216752582975e-05 -1.46815892776431e-12 0.776358723552858 0.223641276447142 0.5 1 0.5 0.5 0.697766666666667 -2508.26777307721 -285.715988060429 -13.7287138206697 111200 111200
0.197621433299005 0.00201148199379985 7.02773518233637e-07 -3.14417590630001e-05 -3.21165316563565e-12 0.782619229618046 0.217380770381954 0.5 1 0.5 0.5 0.7012 -2475.49465827937 -286.34325360336 -13.1826656697732 121300 121300
0.197718971183863 0.00199661967346074 6.93658452418649e-07 -2.90048521947028e-05 -4.84057238736568e-13 0.78891118333856 0.21108881666144 0.5 1 0.5 0.5 0.704633333333333 -2441.59381682987 -286.963184520514 -12.6460906255669 131400 131400
0.197815180005497 0.00198189149431356 6.84673133030831e-07 -2.69161007508956e-05 -1.10844666778576e-12 0.795229971874684 0.204770028125316 0.5 1 0.5 0.5 0.708066666666667 -2406.55557568661 -287.57547404496 -12.1191688565822 141500 141500
0.1979100068886 0.00196730806017155 6.75818536963247e-07 -2.51059281879407e-05 2.60635957261002e-12 0.801570671746933 0.198429328253067 0.5 1 0.5 0.5 0.7115 -2370.37292872588 -288.179808808301 -11.6020811886187 151600 151600
0.19800339867032 0.00195288004376253 6.67095637461816e-07 -2.35221415323394e-05 1.69642078162724e-13 0.807928039106913 0.192071960893087 0.5 1 0.5 0.5 0.714933333333333 -2333.04185213531 -288.775868882868 -11.0950089770603 161700 161700
0.198095302000669 0.00193861817044333 6.58505399615402e-07 -2.21248213563285e-05 7.95807864051312e-13 0.814296506764757 0.185703493235242 0.5 1 0.5 0.5 0.718366666666667 -2294.56160495985 -289.363328361567 -10.5981335605103 171800 171800
0.198185663450006 0.00192453320154676 6.50048775803392e-07 -2.08829144412448e-05 -3.69482222595252e-13 0.820670182512245 0.179329817487755 0.5 1 0.5 0.5 0.7218 -2254.93504330833 -289.941855977199 -10.1116357009415 181900 181900
0.198274429576607 0.00191063592558676 6.41726703068248e-07 -1.97719016057363e-05 8.5265128291212e-13 0.827042845157814 0.172957154842186 0.5 1 0.5 0.5 0.725233333333333 -2214.16897189107 -290.511115462357 -9.63569524576069 192000 192000
0.198361547065516 0.00189693713747478 6.33540097621648e-07 -1.87721648785555e-05 -5.96855898038484e-13 0.833407947214899 0.166592052785101 0.5 1 0.5 0.5 0.728666666666667 -2172.27447844038 -291.070766376821 -9.17049043890506 202100 202100
0.198446962877501 0.00188344761654724 6.25489849127645e-07 -1.78678214126649e-05 -2.30215846386272e-12 0.839758619868432 0.160241380131568 0.5 1 0.5 0.5 0.7321 -2129.26727484431 -291.620465011811 -8.71619719574579 212200 212200
