"data_Name" "Iter" "beta1" "lambda1" "lambda2" "diffBeta1" "diffBeta2" "diffLambda1" "pi1" "pi2" "init_beta1" "init_beta2" "init_pi1" "init_pi2" "EM_endIter" "tempering" "Q1" "Q2" "bpBase" "bp1"
"V145" "LFP" 46 0.187714952382143 0.0027372248482436 2.70415807862314e-06 -2.1860569177079e-07 -27.5873463214141 8.28181967449382e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.509090908636364 -196.577831306966 -117.931512189295 18738174.2286038 18738174.2286038
"V146" "LFP" 47 0.18771495233887 0.00273722484909716 2.70415807862314e-06 -1.94611601500583e-07 -27.5873463214141 1.60316204755873e-13 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.518181817717172 -196.577831306964 -117.931512189295 21049041.4451202 21049041.4451202
"V147" "LFP" 48 0.187714952300293 0.00273722484985752 2.70415807862314e-06 -1.73219262933344e-07 -27.5873463214141 8.43014547058374e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.52727272679798 -196.577831306966 -117.931512189295 23644894.1264541 23644894.1264541
"V148" "LFP" 49 0.187714952265988 0.00273722485053441 2.70415807862314e-06 -1.54220543890915e-07 -27.5873463214141 -2.91455748424596e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.536363635878788 -196.577831306963 -117.931512189295 26560877.8294668 26560877.8294668
"V149" "LFP" 50 0.187714952235495 0.00273722485113527 2.70415807862314e-06 -1.37292971658098e-07 -27.5873463214141 3.08375547319883e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.545454544959596 -196.577831306966 -117.931512189295 29836472.4028334 29836472.4028334
"V150" "LFP" 51 0.187714952208293 0.00273722485167208 2.70415807862314e-06 -1.22221905485276e-07 -27.5873463214141 -2.91722201950506e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.554545454040404 -196.577831306963 -117.931512189295 33516026.5093884 33516026.5093884
"V151" "LFP" 52 0.187714952184115 0.00273722485214845 2.70415807862314e-06 -1.08807142851219e-07 -27.5873463214141 2.70494737719673e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.563636363121212 -196.577831306965 -117.931512189295 37649358.0679247 37649358.0679247
"V152" "LFP" 53 0.187714952162552 0.00273722485257389 2.70415807862314e-06 -9.6863175258477e-08 -27.5873463214141 -2.77688982919244e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.57272727220202 -196.577831306964 -117.931512189295 42292428.7438951 42292428.7438951
"V153" "LFP" 54 0.187714952143366 0.002737224852952 2.70415807862314e-06 -8.62130775658443e-08 -27.5873463214141 7.24353910186437e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.581818181282828 -196.577831306965 -117.931512189295 47508101.621028 47508101.621028
"V154" "LFP" 55 0.18771495212628 0.00273722485328894 2.70415807862314e-06 -7.67483925301349e-08 -27.5873463214141 1.00230934663159e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.590909090363636 -196.577831306965 -117.931512189295 53366992.3120631 53366992.3120631
